Name,Effects,Cooldown,Types,Size
Angry Balloon Bot,"Deal 10 Damage. When your Shield is broken, this gains Shield 10/20/40 for the fight.",3.0 sec,"Friend, Weapon",Medium
Antimatter Chamber,Destroy this and 3 random Small enemy items for the fight.,10.0 sec,,Large
Armored Core,"10. Give Shield items to the right of this +5/10/?? Shield for the fight. When you use any item to the left of this, Charge this 1 second.",7.0 sec,"Core, Unsellable",Medium
Atomic Clock,Increase a random enemy item's cooldown by 1/2/3 seconds for the fight.,1.0 sec,Tool,Medium
Balloon Bot,"Shield 10 When you use the Weapon to the right of this, this gains Shield 10/20/40 for the fight.",3.0 sec,Friend,Medium
Barbed Wire,"Deal 5/?? Damage When you Shield, this gains 5/10/15/20 Damage for the fight.",4.0 sec,Weapon,Small
Battery,Charge the item to the left of this 1/2/3/4 seconds.,4.0 sec,Tool,Small
Bellelista,"Deal 20/??/?? Damage. When this gains Haste, this gains 10/??/?? Damage for the rest of the fight.",5.0 sec,"Friend, Weapon",Medium
Beta Ray,"Freeze 1 Small item for 2/3/4 seconds. When you use the Core or any other Ray, this gains Haste for 2/3/4 seconds.",6.0 sec,Ray,"<font color=""#e79b54"">Small</font>"
Bill Dozer,"Deal 20 Damage. When you use another Friend, this gains 10/20/30 Damage for the fight. Your other Friend's cooldowns are reduced by 20/30/40%.",5.0 sec,"Friend, Weapon, Vehicle",Large
Blast Doors,x This has +Shield equal to 100%/200%/300%/400% of your Shield.,14.0 sec,,Medium
Brick Buddy,"14/?/?/? When you use an adjacent Friend, this gains 5/?/?/? for the fight.",5.0 sec,"Vehicle, Friend",Medium
Bunker,"When you take Damage, Shield equal to 30/40/50% of the damage dealt.",–,Property,Large
Capacitor,Charge adjacent items 1 second.,10.0 / 9.0 / 8.0 / 7.0 sec,,Small
Char Cole,"Burn 1/2/3. When you use another Friend, this gains 1/2/3 Burn for the fight",8.0 sec,Friend,Small
Charging Station,"When you use the item to the left of this, Charge the item to the right 1/2 seconds.  When you use the Core, give it 20/40 Damage for the fight.",–,Tool,Medium
Chemsnail,"Slow an item for 1/2/3/4 seconds. When you Slow, Poison 1/2/4/8 .",–,Friend,Medium
Chris Army Knife,Deal 5/10/20/40 Damage 5/10/20/40,5.0 sec,"Friend, Weapon, Tool",Small
Chronobarrier,50/100 Enemy cooldowns are increased by 1/2 seconds.,6.0 sec,,Medium
Claw Arm,"Deal 10 Damage. When this gains Haste, this and the Weapon to the left of this gains 5/10 Damage for the fight.",4.0 sec,Weapon,Medium
Clawrence,"Deal 10 Damage When you use a Friend, this gains 10/20/40 Damage for the fight.",5.0 sec,"Friend, Weapon",Medium
Combat Core,"Deal 25 Damage Shield 25 When you use any item to the left of this, this gains 10/25/50 Damage for the fight. When you use any item to the right of this, this gains Shield 10/25/50 for the fight.",4.0 sec,"Weapon, Core, Vehicle",Large
Companion Core,"Haste your Friends 1/2/3/4 seconds. When you use another Friend, Charge this 1 second.",7.0 sec,"Core, Friend, Unsellable",Medium
Cool LEDs,"Slow 1 item for 1,2,3,4 seconds. When you use the Core, Slow an item for 1,2,3,4 seconds.",4.0 sec,,Small
Coolant,Freeze 1 item for 1/2/3/4 seconds. Cleanse half your Burn,6.0 sec,,Small
Cooling Fan,"Give the Core +5/10/15% Crit Chance. While you have Burn, reduce this item's cooldown by 50%.",5.0 sec,,Small
Copper Ed,1/2/3/4 5/10/15/20,6.0 sec,Friend,Small
Crane,"Deal 100/200 Damage When you use an adjacent Large item, this gains 30/60% Damage for the fight. When you use an adjacnet Medium item, this gains 20/40% Damage for the fight.",10.0 sec,"Vehicle, Weapon, Tool",Large
Critical Core,"Deal 10/30/60/100 Damage This and items to the right of this have +15/20/25/30% Crit Chance. When you use any item to the left of this, Charge this 1 second. When you crit with any item, Charge this 1 second.",7.0 sec,Weapon,Medium
Cryosphere,Freeze all items other than the Core for 2/3 seconds.,10.0 sec,Tool,Medium
Crypto,"At the start of each hour, set this item's value to a number between 0 and 5/10/20/40",–,,Small
